,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
19312,19871,Nick Chappell,1992-09-19 00:00:00,USA,655.0,11.0,39.0,,,,,,,,,,,527.0,2.0,101.0,,,
19315,19874,Kalle Averfalk,1992-04-07 00:00:00,SWE,,,,,,,,,,,,,,,,,,,
19316,19875,Jay Andrijic,1995-10-03 00:00:00,AUS,,,,,,,,,,,,,,,,,,,
19318,19877,Jea Moon Lee,1993-07-02 00:00:00,KOR,,,,,,,,,,,,,,,,,,,
19319,19878,Robin Olin,1992-01-26 00:00:00,SWE,,,,,,,,,,,,,,,,,,,
19320,19879,Maciej Smola,1993-03-24 00:00:00,POL,,,,,,,,,,,,26878.0,,846.0,-2.0,44.0,,,
19323,19882,Florian Fallert,1992-05-25 00:00:00,GER,,,,0.0,4.0,31.0,19.0,0.0,0.0,16.0,6.0,34108.0,,765.0,76.0,54.0,4.0,3.0,100126915.0
19324,19883,Alexios Halebian,1994-06-08 00:00:00,USA,586.0,26.0,53.0,34.0,16.0,9.0,9.0,0.0,0.0,0.0,0.0,25634.0,,662.0,2.0,72.0,0.0,0.0,100142294.0
19326,19885,Gonzalo Urruticoechea,1993-07-26 00:00:00,CHI,,,,,,,,,,,,,,,,,,,
19327,19886,Daniyal Zagidullin,1992-12-31 00:00:00,RUS,,,,,,,,,,,,,,,,,,,
19331,19890,Prakash Amritraj/James Cerretani,,,,,,,,,,,,,,,,,,,,,
19337,19896,Ruben Ramirez-Hidalgo/Eduardo Schwank,,,,,,,,,,,,,,,,,,,,,
19340,19899,Jorge Aguilar/Hans Podlipnik-Castillo,,,,,,,,,,,,,,,,,,,,,
19343,19902,Jamie Delgado/Frank Moser,,,,,,,,,,,,,,,,,,,,,
19348,19907,Florent Diep,1991-09-24 00:00:00,FRA,847.0,2.0,20.0,7.0,5.0,14.0,22.0,0.0,0.0,0.0,0.0,21760.0,,,,,0.0,2.0,100123187.0
19351,19910,Darian King,1992-04-26 00:00:00,BAR,135.0,30.0,447.0,146.0,18.0,33.0,8.0,0.0,0.0,0.0,0.0,84873.0,,291.0,18.0,241.0,0.0,1.0,100099695.0
19359,19918,Sander Groen/Andreas Vinciguerra,,,,,,,,,,,,,,,,,,,,,
19368,19927,Facundo Bagnis/Eduardo Schwank,,,,,,,,,,,,,,,,,,,,,
19372,19931,Purav Raja/Adil Shamasdin,,,,,,,,,,,,,,,,,,,,,
19382,19942,Harry Bourchier,1996-01-24 00:00:00,AUS,,,,42.0,24.0,11.0,4.0,12.0,2.0,0.0,0.0,25977.0,,524.0,-1.0,102.0,0.0,1.0,100150261.0
19384,19944,Tyler Johnstone,,AUS,,,,,,,,,,,,,,,,,,,100175840.0
19386,19946,Alexander Igoshin,1992-01-10 00:00:00,RUS,567.0,-34.0,56.0,30.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,26074.0,,273.0,-43.0,263.0,2.0,3.0,100076953.0
